genus_vernacular;species_vernacular;genus_scientific;genus_author;species_scientific;primary_use;secondary_use;wild
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Zungen-H.;Ranunculus;L.;R. lingua;Z;NA;W
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Brennender H.;Ranunculus;L.;R. flammula;Z;NA;W
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Knolliger H.;Ranunculus;L.;R. bulbosus;Z;NA;W
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Konstantinopler H.;Ranunculus;L.;NA;NA;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Asiatischer H., Ranunkel-H.;Ranunculus;L.;NA;NA;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Illyrischer H.;Ranunculus;L.;R. illyricus;Z;NA;W
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Balkanischer H.;Ranunculus;L.;R. psilostachys;Z;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Tausendblättriger H.;Ranunculus;L.;R. millefoliatus;Z;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Asiatischer H., Garten-Ranunkel;Ranunculus;L.;R. asiaticus;Z;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Acker-H.;Ranunculus;L.;R. arvensis;Z;NA;W
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Kriechender H.;Ranunculus;L.;R. repens;Z;NA;W
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Berg-H.;Ranunculus;L.;R. montanus;Z;NA;W
Hartheu, Johanniskraut;Hypericum;Ranunculus;L.;H. montanum;Z;NA;W
Hellerkraut, Täschelkraut;Berg-H.;Thlapsi;L.;Th. Montanum;Z;NA;W
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Scharfer H.;Ranunculus;L.;R. acris;Z;NA;W
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Wolliger H.;Ranunculus;L.;R. lanuginosus;Z;NA;W
Adonisröschen;Herbst-A.;Adonis;L.;A. annua;Z;NA;W
Adonisröschen;Frühlings-A.;Adonis;L.;A. vernalis;Z;NA;W
Adonisröschen;Amur-A.;Adonis;L.;A. amurensis;Z;NA;NA
Schmuckblume, Jägerkraut;Bibernellähnliche Sch.;Callianthemum;C.;C. pimpinelloides f.;Z;NA;NA
Schmuckblume, Jägerkraut;Korianderblättrige Sch.;Callianthemum;C.;C. coriandrifolium;Z;NA;NA
Schmuckblume, Jägerkraut;Schmalblättrige Sch.;Callianthemum;C.;C. angustifolium;Z;NA;NA
Schmuckblume, Jägerkraut;Anemonen-Sch.;Callianthemum;C.;C. anemonoides;Z;NA;NA
Schmuckblume, Jägerkraut;Kerner-Sch.;Callianthemum;C.;C. kernerianum;Z;NA;NA
Vanilleblatt;Dreiblättriges V.;Achlys;DC.;A. triphylla;Z;NA;NA
Indianer-Blaubeere;Wiesenrautenähnliche I.;Caulophyllum;MICHX.;C. thalictroides;Z;NA;NA
Löwentrapp, Leontice;Löwentrapp, Leontice;Leontice;L.;L. leontopetalum;Z;NA;NA
Bongardie;Bongardie;Bongardia;C. A. MEY.;B. chrysogonum;Z;NA;NA
Vancouverie;Nördliche V., Rüsselsternchen;Vancouveria;C.;V. hexandra;Z;NA;NA
Sockenblume, Elfenblume;Algerische S.;Epimedium;L.;E. perralderianum;Z;NA;NA
Sockenblume, Elfenblume;Kolchische S.;Epimedium;L.;E. pinnatum subsp. colchicum;Z;NA;NA
Sockenblume, Elfenblume;Großblütige S.;Epimedium;L.;E. grandiflorum;Z;NA;NA
Sockenblume, Elfenblume;Japanische S.;Epimedium;L.;C. japonica;Z;NA;NA
Skimmie;Japanische S.;Skimmia;THUNB.;S. japonica;Z;NA;NA
Sockenblume, Elfenblume;Behaarte S.;Epimedium;L.;E. pubigerum;Z;NA;NA
Sockenblume, Elfenblume;Alpen-S.;Epimedium;L.;E. alpinum;Z;NA;W
Säuerling;Alpen-S.;Oxyria;HILL;O. digyna;Z;NA;W
Sonnenröschen;Alpen-S.;Helianthemum;L.;H. alpestre;Z;NA;W
Seidelbast;Alpen-S.;Daphne;L.;D. alpina;Z;NA;NA
Steinbalsam;Alpen-S.;Erinus;L.;E. alpinus;Z;NA;NA
Süßklee;Alpen-S.;Hedysarum;L.;H. hedysaroides;Z;NA;W
Jeffersonie;Zweiblättrige J., Zwillingsblatt;Jeffersonia;BARTON;J. diphylla;Z;NA;NA
Jeffersonie;Ganzblättrige J., Herzblattschale;Jeffersonia;BARTON;J. dubia f.;Z;NA;NA
Maiapfel, Fußblatt;Chinesischer M.;Podophyllum;L.;P. pleianthum;Z;NA;NA
Mannschild;Chinesischer M.;Androsace;L.;A. sarmentosa;Z;NA;NA
Maiapfel, Fußblatt;Himalaja-M.;Podophyllum;L.;P. hexandrum;Z;NA;NA
Maiapfel, Fußblatt;Nordamerikanischer M., Gewöhnlicher M., Entenfuß;Podophyllum;L.;P. peltatum;Z;NA;NA
Schirmblatt;Schirmblatt;Diphylleia;MICHX.;NA;NA;NA;NA
Romneya;Coulter-R;Romneya;HARV.;R. coulteri;Z;NA;NA
Stachelmohn;Mexikanischer St.;Argemone;L.;A. mexicana;Z;NA;NA
Stachelmohn;Großblütiger St.;Argemone;L.;A. grandiflora;Z;NA;NA
Stachelmohn;Rötlichweißer St.;Argemone;L.;A. sanguinea;Z;NA;NA
Stachelmohn;Vielblütiger St.;Argemone;L.;A. polyanthemos;Z;NA;NA
Mohn;Japan-M., Faurie-M.;Papaver;L.;P. fauriei;Z;NA;NA
Mohn;Polar-M.;Papaver;L.;P. radicatum;Z;NA;NA
Mohn;Grau-M.;Papaver;L.;P. canescens;Z;NA;NA
Mohn;Altai-M., Island-M;Papaver;L.;P. croceum;Z;NA;NA
Mohn;Alpen-M.;Papaver;L.;P. alpinum;Z;NA;W
Mohn;Pfauen-M.;Papaver;L.;P. pavoninum;Z;NA;W
Mohn;Orientalischer M.;Papaver;L.;P. orientale;Z;NA;NA
Mohn;Scharlach-M., Arznei-M.;Papaver;L.;P. bracteatum;N;NA;NA
Mohn;Falscher Orient-M.;Papaver;L.;P. pseudo-orientale;Z;NA;NA
Mohn;Behaarter M.;Papaver;L.;P. pilosum;Z;NA;NA
Mohn;Tulpen-M.;Papaver;L.;P. glaucum;Z;NA;NA
Mohn;Garten-M., Schlaf-M.;Papaver;L.;P. somniferum;Z;N;NA
Mohn;Klatsch-M;Papaver;L.;P. rhoeas;Z;NA;W
Mohn;Ziegelroter M;Papaver;L.;P. lateritium;Z;NA;NA
Mohn;Fels-M;Papaver;L.;P. rupifragum;Z;NA;NA
