vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Felsen-W.;– A. rupicola CAMBESS.;Felsen-W.;A. rupicola CAMBESS.;A. rupicola CAMBESS.;A. rupicola CAMBESS.;A. rupicola CAMBESS.;A. rupicola
Pazifisches W.;– A. multifida POIR.13* Endabschnitte de;Pazifisches W.;A. multifida POIR.13* Endabschnitte de;A. multifida POIR.13* Endabschnitte de;A. multifida POIR.;A. multifida POIR.;A. multifida
Virginische A.;– A. virginiana L.;Virginische A.;A. virginiana L.;A. virginiana L.;A. virginiana L.;A. virginiana L.;A. virginiana
Langkopf-A.;– A. cylindrica A. GRAY;Langkopf-A.;A. cylindrica A. GRAY;A. cylindrica A. GRAY;A. cylindrica A. GRAY;A. cylindrica A. GRAY;A. cylindrica
Richardson-A.;– A. richardsonii HOOK.;Richardson-A.;A. richardsonii HOOK.;A. richardsonii HOOK.;A. richardsonii HOOK.;A. richardsonii HOOK.;A. richardsonii
Bach-W.;– A. rivularis BUCH.-HAM. ex DC.17* Frch;Bach-W.;A. rivularis BUCH.-HAM. ex DC.17* Frch;A. rivularis BUCH.-HAM. ex DC.17* Frch;A. rivularis BUCH.-HAM. ex DC.;A. rivularis BUCH.-HAM. ex DC.;A. rivularis
Westhimalaische A.;– A. tetrasepala ROYLE18* Pfl 20–40 cm h;Westhimalaische A.;A. tetrasepala ROYLE18* Pfl 20–40 cm h;A. tetrasepala ROYLE18* Pfl 2040 cm h;A. tetrasepala ROYLE;A. tetrasepala ROYLE;A. tetrasepala
Kanadisches W.;– A. canadensis L.Ähnlich: Gabel-A. – A.;Kanadisches W.;A. canadensis L.Ähnlich: Gabel-A. – A.;A. canadensis L.Ähnlich: Gabel-A. – A.;A. canadensis L.;A. canadensis L.;A. canadensis
Narzissen-W.,Berghähnlein;– A. narcissiflora L.: Pfl 20–30(–40) cm;Narzissen-W.,Berghähnlein;A. narcissiflora L.: Pfl 20–30(–40) cm;A. narcissiflora L.: Pfl 2030(–40) cm;A. narcissiflora L.;A. narcissiflora L.;A. narcissiflora
Fiederblättrige A.;– A. glaucifolia FRANCH.;Fiederblättrige A.;A. glaucifolia FRANCH.;A. glaucifolia FRANCH.;A. glaucifolia FRANCH.;A. glaucifolia FRANCH.;A. glaucifolia
Löffelblättrige A.;– A. trullifolia HOOK. f. et THOMSON22* ;Löffelblättrige A.;A. trullifolia HOOK. f. et THOMSON22* ;A. trullifolia HOOK. f. et THOMSON22* ;A. trullifolia HOOK. f. et THOMSON;A. trullifolia HOOK. f. et THOMSON;A. trullifolia f.
Stumpflappige A.;– A. obtusiloba D. DON23 (21) Rhizom ± k;Stumpflappige A.;A. obtusiloba D. DON23 (21) Rhizom ± k;A. obtusiloba D. DON23 (21) Rhizom ± k;A. obtusiloba D. DON;A. obtusiloba D. DON;A. obtusiloba
Apenninen-W.;– A. apennina L.;Apenninen-W.;A. apennina L.;A. apennina L.;A. apennina L.;A. apennina L.;A. apennina
Balkan-W.;– A. blanda SCHOTT et KOTSCHY;Balkan-W.;A. blanda SCHOTT et KOTSCHY;A. blanda SCHOTT et KOTSCHY;A. blanda SCHOTT et KOTSCHY;A. blanda SCHOTT et KOTSCHY;A. blanda
Baikal-W.;– A. baicalensis TURCZ. et LEDEB.Ähnlich;Baikal-W.;A. baicalensis TURCZ. et LEDEB.Ähnlich;A. baicalensis TURCZ. et LEDEB.Ähnlich;A. baicalensis TURCZ. et LEDEB.;A. baicalensis TURCZ. et LEDEB.;A. baicalensis
Rückwärtsgebogene A.;– A. reflexa STEPH. ex WILLD.26* BHüllBl;Rückwärtsgebogene A.;A. reflexa STEPH. ex WILLD.26* BHüllBl;A. reflexa STEPH. ex WILLD.26* BHüllBl;A. reflexa STEPH. ex WILLD.;A. reflexa STEPH. ex WILLD.;A. reflexa
Dreiblatt-W.;– A. trifolia L.;Dreiblatt-W.;A. trifolia L.;A. trifolia L.;A. trifolia L.;A. trifolia L.;A. trifolia
Altai-W.;– A. altaica FISCH. et C. A. MEY.;Altai-W.;A. altaica FISCH. et C. A. MEY.;A. altaica FISCH. et C. A. MEY.;A. altaica FISCH. et C. A. MEY.;A. altaica FISCH. et C. A. MEY.;A. altaica
Siebenbürger L.;– H. transsilvanica FUSS;Siebenbürger L.;H. transsilvanica FUSS;H. transsilvanica FUSS;H. transsilvanica FUSS;H. transsilvanica FUSS;H. transsilvanica
Alpen-K.;– P. alpina (L.) DELARBREUnterarten:1 BH;Alpen-K.;P. alpina (L.) DELARBREUnterarten:1 BH;P. alpina (L.) DELARBREUnterarten:1 BH;P. alpina (L.) DELARBREUnterarten;P. alpina (L.) DELARBREUnterarten;P. alpina
Goldgelbe K.;– P. aurea (N. BUSCH) JUZ.: BHülle goldg;Goldgelbe K.;P. aurea (N. BUSCH) JUZ.: BHülle goldg;P. aurea (N. BUSCH) JUZ.: BHülle goldg;P. aurea (N. BUSCH) JUZ.;P. aurea (N. BUSCH) JUZ.;P. aurea
Brocken-K., Brockenanemone;– P. alpina (L.) DELARBRE subsp.alba (RC;Brocken-K., Brockenanemone;P. alpina (L.) DELARBRE subsp.alba (RC;P. alpina (L.) DELARBRE subsp.alba (RC;P. alpina (L.) DELARBRE subsp.alba (RC;P. alpina (L.) DELARBRE subsp.alba (RC;P. alpina subsp. alba
Frühlings-K.;– P. vernalis (L.) MILL.;Frühlings-K.;P. vernalis (L.) MILL.;P. vernalis (L.) MILL.;P. vernalis (L.) MILL.;P. vernalis (L.) MILL.;P. vernalis
Gelbliche K.;– P. flavescens (ZUCC.) JUZ.;Gelbliche K.;P. flavescens (ZUCC.) JUZ.;P. flavescens (ZUCC.) JUZ.;P. flavescens (ZUCC.) JUZ.;P. flavescens (ZUCC.) JUZ.;P. flavescens
Finger-K., Stern-K.;– P. patens (L.) MILL.6 (4) B übergeboge;Finger-K., Stern-K.;P. patens (L.) MILL.6 (4) B übergeboge;P. patens (L.) MILL.6 (4) B übergeboge;P. patens (L.) MILL.;P. patens (L.) MILL.;P. patens
Berg-K.;– P. montana (HOPPE) RCHB.;Berg-K.;P. montana (HOPPE) RCHB.;P. montana (HOPPE) RCHB.;P. montana (HOPPE) RCHB.;P. montana (HOPPE) RCHB.;P. montana
Kaukasische K.;– P. albana (STEVEN) BERCHT. et J. PRESL;Kaukasische K.;P. albana (STEVEN) BERCHT. et J. PRESL;P. albana (STEVEN) BERCHT. et J. PRESL;P. albana (STEVEN) BERCHT. et J. PRESL;P. albana (STEVEN) BERCHT. et J. PRESL;P. albana
Wiesen-K.;– P. pratensis (L.) MILL.;Wiesen-K.;P. pratensis (L.) MILL.;P. pratensis (L.) MILL.;P. pratensis (L.) MILL.;P. pratensis (L.) MILL.;P. pratensis
Slawische K.;– P. slavica G. REUSS;Slawische K.;P. slavica G. REUSS;P. slavica G. REUSS;P. slavica G. REUSS;P. slavica G. REUSS;P. slavica
Steirische K.;– P. styriaca (PRITZ.) SIMONK.10* BlSpre;Steirische K.;P. styriaca (PRITZ.) SIMONK.10* BlSpre;P. styriaca (PRITZ.) SIMONK.10* BlSpre;P. styriaca (PRITZ.) SIMONK.;P. styriaca (PRITZ.) SIMONK.;P. styriaca
Gewöhnliche K.;– P. vulgaris MILL.;Gewöhnliche K.;P. vulgaris MILL.;P. vulgaris MILL.;P. vulgaris MILL.;P. vulgaris MILL.;P. vulgaris
Große K.;– P. grandis WENDER.;Große K.;P. grandis WENDER.;P. grandis WENDER.;P. grandis WENDER.;P. grandis WENDER.;P. grandis
Dsungarische W.;– C. songarica BUNGE3* B einzeln od. in ;Dsungarische W.;C. songarica BUNGE3* B einzeln od. in ;C. songarica BUNGE3* B einzeln od. in ;C. songarica BUNGE;C. songarica BUNGE;C. songarica
Ganzblättrige W.;– C. integrifolia L.Ähnlich: Gelbliche W;Ganzblättrige W.;C. integrifolia L.Ähnlich: Gelbliche W;C. integrifolia L.Ähnlich: Gelbliche W;C. integrifolia L.;C. integrifolia L.;C. integrifolia
Addison-W.;– C. addisonii BRIT-TON: untere u. mittl;Addison-W.;C. addisonii BRIT-TON: untere u. mittl;C. addisonii BRIT-TON: untere u. mittl;C. addisonii BRIT-TON;C. addisonii BRIT-TON;C. addisonii
Großblättrige W., Trompeten-W.;– C. heracleifolia DC.4* Bl einfach gefi;Großblättrige W., Trompeten-W.;C. heracleifolia DC.4* Bl einfach gefi;C. heracleifolia DC.4* Bl einfach gefi;C. heracleifolia DC.;C. heracleifolia DC.;C. heracleifolia
Aufrechte W.;– C. recta L.;Aufrechte W.;C. recta L.;C. recta L.;C. recta L.;C. recta L.;C. recta
Alpen-W., Alpenrebe;– C. alpina (L.) MILL.;Alpen-W., Alpenrebe;C. alpina (L.) MILL.;C. alpina (L.) MILL.;C. alpina (L.) MILL.;C. alpina (L.) MILL.;C. alpina
Großblumige W.;– C. macropetala LEDEB.7 (5) Bl 3zählig ;Großblumige W.;C. macropetala LEDEB.7 (5) Bl 3zählig ;C. macropetala LEDEB.7 (5) Bl 3zählig ;C. macropetala LEDEB.;C. macropetala LEDEB.;C. macropetala
Armand-W.;– C. armandii FRANCH.8* Bl sommergrün  .;Armand-W.;C. armandii FRANCH.8* Bl sommergrün  .;C. armandii FRANCH.8* Bl sommergrün  .;C. armandii FRANCH.;C. armandii FRANCH.;C. armandii
Jackman-W.;– C. × jackmanii T. MOORE;Jackman-W.;C. × jackmanii T. MOORE;C. × jackmanii T. MOORE;C. × jackmanii T. MOORE;C. × jackmanii T. MOORE;C. × jackmanii
Wollige W.;– C. lanuginosa LINDL.;Wollige W.;C. lanuginosa LINDL.;C. lanuginosa LINDL.;C. lanuginosa LINDL.;C. lanuginosa LINDL.;C. lanuginosa
Rehder-W.;– C. rehderiana CRAIB;Rehder-W.;C. rehderiana CRAIB;C. rehderiana CRAIB;C. rehderiana CRAIB;C. rehderiana CRAIB;C. rehderiana
Mongolische W.;– C. tangutica (MAXIM.) KORSH.;Mongolische W.;C. tangutica (MAXIM.) KORSH.;C. tangutica (MAXIM.) KORSH.;C. tangutica (MAXIM.) KORSH.;C. tangutica (MAXIM.) KORSH.;C. tangutica
Gewöhnliche W.;– C. vitalba L.Hybride: mit C. potaninii;Gewöhnliche W.;C. vitalba L.Hybride: mit C. potaninii;C. vitalba L.Hybride: mit C. potaninii;C. vitalba L.Hybride;C. vitalba L.Hybride;C. vitalba
Brennende W., Mandel-W.;– C. flammula L.;Brennende W., Mandel-W.;C. flammula L.;C. flammula L.;C. flammula L.;C. flammula L.;C. flammula
Krugblütige W.;– C. viorna L.14* B br glockig bis flach;Krugblütige W.;C. viorna L.14* B br glockig bis flach;C. viorna L.14* B br glockig bis flach;C. viorna L.;C. viorna L.;C. viorna
Italienische W.;– C. viticella L.Ähnlich: Glockenblütige;Italienische W.;C. viticella L.Ähnlich: Glockenblütige;C. viticella L.Ähnlich: Glockenblütige;C. viticella L.;C. viticella L.;C. viticella
Gewöhnlicher W.;– R. aquatilis L.2* Land- od. SumpfPfl  ;Gewöhnlicher W.;R. aquatilis L.2* Land- od. SumpfPfl  ;R. aquatilis L.2* Land- od. SumpfPfl  ;R. aquatilis L.;R. aquatilis L.;R. aquatilis
Pyrenäen-H.;– R. pyrenaeus L.;Pyrenäen-H.;R. pyrenaeus L.;R. pyrenaeus L.;R. pyrenaeus L.;R. pyrenaeus L.;R. pyrenaeus
Weißer H.;– R. amplexicaulis L.;Weißer H.;R. amplexicaulis L.;R. amplexicaulis L.;R. amplexicaulis L.;R. amplexicaulis L.;R. amplexicaulis
Herzblättriger H.;– R. parnassifolius L. 6 (3) Pfl 5–15 cm;Herzblättriger H.;R. parnassifolius L. 6 (3) Pfl 5–15 cm;R. parnassifolius L. 6 (3) Pfl 515 cm;R. parnassifolius L. ;R. parnassifolius L. ;R. parnassifolius
Gekerbter H.;– R. crenatus L.;Gekerbter H.;R. crenatus L.;R. crenatus L.;R. crenatus L.;R. crenatus L.;R. crenatus
Alpen-H.;– R. alpestris L.;Alpen-H.;R. alpestris L.;R. alpestris L.;R. alpestris L.;R. alpestris L.;R. alpestris
Eisenhutblättriger H.;– R. aconitifolius L.8* Stg mit aufrecht;Eisenhutblättriger H.;R. aconitifolius L.8* Stg mit aufrecht;R. aconitifolius L.8* Stg mit aufrecht;R. aconitifolius L.;R. aconitifolius L.;R. aconitifolius
Platanenblättriger H.;– R. platanifolius L.;Platanenblättriger H.;R. platanifolius L.;R. platanifolius L.;R. platanifolius L.;R. platanifolius L.;R. platanifolius
Schildblatt-H.;– R. thora L.;Schildblatt-H.;R. thora L.;R. thora L.;R. thora L.;R. thora L.;R. thora
Grasblättriger H.;– R. gramineus L.;Grasblättriger H.;R. gramineus L.;R. gramineus L.;R. gramineus L.;R. gramineus L.;R. gramineus
Zungen-H.;– R. lingua L.;Zungen-H.;R. lingua L.;R. lingua L.;R. lingua L.;R. lingua L.;R. lingua
Brennender H.;– R. flammula L.14 (9) KBl zurückgeschla;Brennender H.;R. flammula L.14 (9) KBl zurückgeschla;R. flammula L.14 (9) KBl zurückgeschla;R. flammula L.;R. flammula L.;R. flammula
Knolliger H.;– R. bulbosus L.;Knolliger H.;R. bulbosus L.;R. bulbosus L.;R. bulbosus L.;R. bulbosus L.;R. bulbosus
Illyrischer H.;– R. illyricus L.18* GrundBl meist mit 3;Illyrischer H.;R. illyricus L.18* GrundBl meist mit 3;R. illyricus L.18* GrundBl meist mit 3;R. illyricus L.;R. illyricus L.;R. illyricus
Balkanischer H.;– R. psilostachys GRISEB.;Balkanischer H.;R. psilostachys GRISEB.;R. psilostachys GRISEB.;R. psilostachys GRISEB.;R. psilostachys GRISEB.;R. psilostachys
Tausendblättriger H.;– R. millefoliatus VAHL;Tausendblättriger H.;R. millefoliatus VAHL;R. millefoliatus VAHL;R. millefoliatus VAHL;R. millefoliatus VAHL;R. millefoliatus
Asiatischer H., Garten-Ranunkel;– R. asiaticus L.;Asiatischer H., Garten-Ranunkel;R. asiaticus L.;R. asiaticus L.;R. asiaticus L.;R. asiaticus L.;R. asiaticus
Acker-H.;– R. arvensis L.21* Pfl . Frchen nicht s;Acker-H.;R. arvensis L.21* Pfl . Frchen nicht s;R. arvensis L.21* Pfl . Frchen nicht s;R. arvensis L.;R. arvensis L.;R. arvensis
Kriechender H.;– R. repens L.22* Pfl ohne kriechende, o;Kriechender H.;R. repens L.22* Pfl ohne kriechende, o;R. repens L.22* Pfl ohne kriechende, o;R. repens L.;R. repens L.;R. repens
Berg-H.;– R. montanus WILLD.;Berg-H.;R. montanus WILLD.;R. montanus WILLD.;R. montanus WILLD.;R. montanus WILLD.;R. montanus
Scharfer H.;– R. acris L.24* FrchenSchnabel lg, zule;Scharfer H.;R. acris L.24* FrchenSchnabel lg, zule;R. acris L.24* FrchenSchnabel lg, zule;R. acris L.;R. acris L.;R. acris
Wolliger H.;– R. lanuginosus L. Adonisröschen – Adon;Wolliger H.;R. lanuginosus L. Adonisröschen – Adon;R. lanuginosus L. Adonisröschen – Adon;R. lanuginosus L. Adonisröschen – Adon;R. lanuginosus L. Adonisröschen – Adon;R. lanuginosus
Frühlings-A.;– A. vernalis L.2* Pfl behaart, bis zum ;Frühlings-A.;A. vernalis L.2* Pfl behaart, bis zum ;A. vernalis L.2* Pfl behaart, bis zum ;A. vernalis L.;A. vernalis L.;A. vernalis
Amur-A.;– A. amurensis REGEL et RADDE;Amur-A.;A. amurensis REGEL et RADDE;A. amurensis REGEL et RADDE;A. amurensis REGEL et RADDE;A. amurensis REGEL et RADDE;A. amurensis
Bibernellähnliche Sch.;– C. pimpinelloides (D. DON) HOOK. f. et;Bibernellähnliche Sch.;C. pimpinelloides (D. DON) HOOK. f. et;C. pimpinelloides (D. DON) HOOK. f. et;C. pimpinelloides (D. DON) HOOK. f. et;C. pimpinelloides (D. DON) HOOK. f. et;C. pimpinelloides f.
Korianderblättrige Sch.;– C. coriandrifolium RCHB.3* GrundBl mit;Korianderblättrige Sch.;C. coriandrifolium RCHB.3* GrundBl mit;C. coriandrifolium RCHB.3* GrundBl mit;C. coriandrifolium RCHB.;C. coriandrifolium RCHB.;C. coriandrifolium
Schmalblättrige Sch.;– C. angustifolium WITASEK;Schmalblättrige Sch.;C. angustifolium WITASEK;C. angustifolium WITASEK;C. angustifolium WITASEK;C. angustifolium WITASEK;C. angustifolium
Anemonen-Sch.;– C. anemonoides (ZAHLBR.) ENDL. ex HEYN;Anemonen-Sch.;C. anemonoides (ZAHLBR.) ENDL. ex HEYN;C. anemonoides (ZAHLBR.) ENDL. ex HEYN;C. anemonoides (ZAHLBR.) ENDL. ex HEYN;C. anemonoides (ZAHLBR.) ENDL. ex HEYN;C. anemonoides
Kerner-Sch.;– C. kernerianum FREYN ex A. KERN.;Kerner-Sch.;C. kernerianum FREYN ex A. KERN.;C. kernerianum FREYN ex A. KERN.;C. kernerianum FREYN ex A. KERN.;C. kernerianum FREYN ex A. KERN.;C. kernerianum
Dreiblättriges V.;– A. triphylla (SM.) DC.;Dreiblättriges V.;A. triphylla (SM.) DC.;A. triphylla (SM.) DC.;A. triphylla (SM.) DC.;A. triphylla (SM.) DC.;A. triphylla
Wiesenrautenähnliche I.;– C. thalictroides (L.) MICHX.;Wiesenrautenähnliche I.;C. thalictroides (L.) MICHX.;C. thalictroides (L.) MICHX.;C. thalictroides (L.) MICHX.;C. thalictroides (L.) MICHX.;C. thalictroides
Nördliche V., Rüsselsternchen;– V. hexandra (HOOK.) C. MORREN et DECNE;Nördliche V., Rüsselsternchen;V. hexandra (HOOK.) C. MORREN et DECNE;V. hexandra (HOOK.) C. MORREN et DECNE;V. hexandra (HOOK.) C. MORREN et DECNE;V. hexandra (HOOK.) C. MORREN et DECNE;V. hexandra
Gelbe V.;– V. chrysantha GREENE: BlchenRand verdi;Gelbe V.;V. chrysantha GREENE: BlchenRand verdi;V. chrysantha GREENE: BlchenRand verdi;V. chrysantha GREENE;V. chrysantha GREENE;V. chrysantha
Algerische S.;– E. perralderianum COSS.;Algerische S.;E. perralderianum COSS.;E. perralderianum COSS.;E. perralderianum COSS.;E. perralderianum COSS.;E. perralderianum
Kolchische S.;– E. pinnatum FISCH. subsp. colchicum (B;Kolchische S.;E. pinnatum FISCH. subsp. colchicum (B;E. pinnatum FISCH. subsp. colchicum (B;E. pinnatum FISCH. subsp. colchicum (B;E. pinnatum FISCH. subsp. colchicum (B;E. pinnatum subsp. colchicum
Großblütige S.;– E. grandiflorum C. MORREN3* B 1–2,5 cm;Großblütige S.;E. grandiflorum C. MORREN3* B 1–2,5 cm;E. grandiflorum C. MORREN3* B 12,5 cm;E. grandiflorum C. MORREN;E. grandiflorum C. MORREN;E. grandiflorum
Japanische S.;– C. japonica (THUNB.) SPRENG.;Japanische S.;C. japonica (THUNB.) SPRENG.;C. japonica (THUNB.) SPRENG.;C. japonica (THUNB.) SPRENG.;C. japonica (THUNB.) SPRENG.;C. japonica
Behaarte S.;– E. pubigerum (DC.) C. MORREN et DECNE.;Behaarte S.;E. pubigerum (DC.) C. MORREN et DECNE.;E. pubigerum (DC.) C. MORREN et DECNE.;E. pubigerum (DC.) C. MORREN et DECNE.;E. pubigerum (DC.) C. MORREN et DECNE.;E. pubigerum
Alpen-S.;– E. alpinum L.Gartenhybr: E. × perralch;Alpen-S.;E. alpinum L.Gartenhybr: E. × perralch;E. alpinum L.Gartenhybr: E. × perralch;E. alpinum L.Gartenhybr;E. alpinum L.Gartenhybr;E. alpinum
Zweiblättrige J., Zwillingsblatt;– J. diphylla (L.) PERS.;Zweiblättrige J., Zwillingsblatt;J. diphylla (L.) PERS.;J. diphylla (L.) PERS.;J. diphylla (L.) PERS.;J. diphylla (L.) PERS.;J. diphylla
Ganzblättrige J., Herzblattschale;– J. dubia (MAXIM.) BENTH. et HOOK. f.;Ganzblättrige J., Herzblattschale;J. dubia (MAXIM.) BENTH. et HOOK. f.;J. dubia (MAXIM.) BENTH. et HOOK. f.;J. dubia (MAXIM.) BENTH. et HOOK. f.;J. dubia (MAXIM.) BENTH. et HOOK. f.;J. dubia f.
Chinesischer M.;– P. pleianthum HANCE1* B einzeln, weiß ;Chinesischer M.;P. pleianthum HANCE1* B einzeln, weiß ;P. pleianthum HANCE1* B einzeln, weiß ;P. pleianthum HANCE;P. pleianthum HANCE;P. pleianthum
Himalaja-M.;– P. hexandrum ROYLE;Himalaja-M.;P. hexandrum ROYLE;P. hexandrum ROYLE;P. hexandrum ROYLE;P. hexandrum ROYLE;P. hexandrum
Nordamerikanischer M., Gewöhnlicher M., Entenfuß;– P. peltatum L.;Nordamerikanischer M., Gewöhnlicher M., Entenfuß;P. peltatum L.;P. peltatum L.;P. peltatum L.;P. peltatum L.;P. peltatum
Coulter-R;. – R. coulteri HARV.;Coulter-R.;R. coulteri HARV.;R. coulteri HARV.;R. coulteri HARV.;R. coulteri HARV.;R. coulteri
Mexikanischer St.;– A. mexicana L.;Mexikanischer St.;A. mexicana L.;A. mexicana L.;A. mexicana L.;A. mexicana L.;A. mexicana
Großblütiger St.;– A. grandiflora SWEET;Großblütiger St.;A. grandiflora SWEET;A. grandiflora SWEET;A. grandiflora SWEET;A. grandiflora SWEET;A. grandiflora
Rötlichweißer St.;– A. sanguinea GREENE3* Untere Bl fieder;Rötlichweißer St.;A. sanguinea GREENE3* Untere Bl fieder;A. sanguinea GREENE3* Untere Bl fieder;A. sanguinea GREENE;A. sanguinea GREENE;A. sanguinea
Vielblütiger St.;– A. polyanthemos (FEDDE) G. B. OWNBEY;Vielblütiger St.;A. polyanthemos (FEDDE) G. B. OWNBEY;A. polyanthemos (FEDDE) G. B. OWNBEY;A. polyanthemos (FEDDE) G. B. OWNBEY;A. polyanthemos (FEDDE) G. B. OWNBEY;A. polyanthemos
Polar;#NAME?;Polar-M.;P. radicatum ROTTB.;P. radicatum ROTTB.;P. radicatum ROTTB.;P. radicatum ROTTB.;P. radicatum
Altai-M., Island-M;. – P. croceum LEDEB.Art eines sehr viel;Altai-M., Island-M.;P. croceum LEDEB.Art eines sehr viel;P. croceum LEDEB.Art eines sehr viel;P. croceum LEDEB.Art eines sehr viel;P. croceum LEDEB.Art eines sehr viel;P. croceum
Alpen-M;. – P. alpinum L. Folgende Unterarten si;Alpen-M.;P. alpinum L. Folgende Unterarten si;P. alpinum L. Folgende Unterarten si;P. alpinum L. Folgende Unterarten si;P. alpinum L. Folgende Unterarten si;P. alpinum
Pfauen-M;. – P. pavoninum FISCH. et C. A. MEY.;Pfauen-M.;P. pavoninum FISCH. et C. A. MEY.;P. pavoninum FISCH. et C. A. MEY.;P. pavoninum FISCH. et C. A. MEY.;P. pavoninum FISCH. et C. A. MEY.;P. pavoninum
Orientalischer M;. – P. orientale L.8* KrBl am Grund mit ;Orientalischer M.;P. orientale L.8* KrBl am Grund mit ;P. orientale L.8* KrBl am Grund mit ;P. orientale L.;P. orientale L.;P. orientale
Scharlach-M., Arznei-M;. – P. bracteatum LINDL.;Scharlach-M., Arznei-M.;P. bracteatum LINDL.;P. bracteatum LINDL.;P. bracteatum LINDL.;P. bracteatum LINDL.;P. bracteatum
Falscher Orient-M.;– P. pseudo-orientale (FEDDE) MEDW.10 (7;Falscher Orient-M.;P. pseudo-orientale (FEDDE) MEDW.10 (7;P. pseudo-orientale (FEDDE) MEDW.10 (7;P. pseudo-orientale (FEDDE) MEDW.;P. pseudo-orientale (FEDDE) MEDW.;P. pseudo-orientale
Behaarter M;. – P. pilosum SIBTH. et SM. 10* B stets;Behaarter M.;P. pilosum SIBTH. et SM. 10* B stets;P. pilosum SIBTH. et SM. 10* B stets;P. pilosum SIBTH. et SM. ;P. pilosum SIBTH. et SM. ;P. pilosum
Tulpen-M;. – P. glaucum BOISS. et HAUSSKN.12* Bl ;Tulpen-M.;P. glaucum BOISS. et HAUSSKN.12* Bl ;P. glaucum BOISS. et HAUSSKN.12* Bl ;P. glaucum BOISS. et HAUSSKN.;P. glaucum BOISS. et HAUSSKN.;P. glaucum
Garten-M;., Schlaf-M. – P. somniferum L.Schütt-M.;Garten-M., Schlaf-M.;P. somniferum L.Schütt-M.;P. somniferum L.Schütt-M.;P. somniferum L.Schütt-M.;P. somniferum L.Schütt-M.;P. somniferum
Klatsch-M;. – P. rhoeas L.Verschiedene Sortengrupp;Klatsch-M.;P. rhoeas L.Verschiedene Sortengrupp;P. rhoeas L.Verschiedene Sortengrupp;P. rhoeas L.Verschiedene Sortengrupp;P. rhoeas L.Verschiedene Sortengrupp;P. rhoeas
Ziegelroter M;. – P. lateritium K. KOCH;Ziegelroter M.;P. lateritium K. KOCH;P. lateritium K. KOCH;P. lateritium K. KOCH;P. lateritium K. KOCH;P. lateritium
Fels-M;. – P. rupifragum BOISS. et REUT.Ähnlich;Fels-M.;P. rupifragum BOISS. et REUT.Ähnlich;P. rupifragum BOISS. et REUT.Ähnlich;P. rupifragum BOISS. et REUT.;P. rupifragum BOISS. et REUT.;P. rupifragum
Stachliger Sch.;– M. horridula HOOK. f. et THOMSON1* Pfl;Stachliger Sch.;M. horridula HOOK. f. et THOMSON1* Pfl;M. horridula HOOK. f. et THOMSON1* Pfl;M. horridula HOOK. f. et THOMSON;M. horridula HOOK. f. et THOMSON;M. horridula f.
Gelbhaariger Sch.;– M. integrifolia (MAXIM.) FRANCH.3* B l;Gelbhaariger Sch.;M. integrifolia (MAXIM.) FRANCH.3* B l;M. integrifolia (MAXIM.) FRANCH.3* B l;M. integrifolia (MAXIM.) FRANCH.;M. integrifolia (MAXIM.) FRANCH.;M. integrifolia
Fünfnerviger Sch.;– M. quintuplinervia REGEL;Fünfnerviger Sch.;M. quintuplinervia REGEL;M. quintuplinervia REGEL;M. quintuplinervia REGEL;M. quintuplinervia REGEL;M. quintuplinervia
Zottiger Sch., Cathcartie;– M. villosa (HOOK. f.) G. TAYLOR6* Unte;Zottiger Sch., Cathcartie;M. villosa (HOOK. f.) G. TAYLOR6* Unte;M. villosa (HOOK. f.) G. TAYLOR6* Unte;M. villosa (HOOK. f.) G. TAYLOR;M. villosa (HOOK. f.) G. TAYLOR;M. villosa
Kambrischer Sch., Wald-Sch., Pyrenäen-Sch.;– M. cambrica (L.) VIG.7* BStand ein loc;Kambrischer Sch., Wald-Sch., Pyrenäen-Sch.;M. cambrica (L.) VIG.7* BStand ein loc;M. cambrica (L.) VIG.7* BStand ein loc;M. cambrica (L.) VIG.;M. cambrica (L.) VIG.;M. cambrica
Schöllkrautblättriger Sch.;– M. chelidoniifolia BUREAU et FRANCH.8 ;Schöllkrautblättriger Sch.;M. chelidoniifolia BUREAU et FRANCH.8 ;M. chelidoniifolia BUREAU et FRANCH.8 ;M. chelidoniifolia BUREAU et FRANCH.;M. chelidoniifolia BUREAU et FRANCH.;M. chelidoniifolia
Rispiger Sch.;– M. paniculata (D. DON) PRAIN;Rispiger Sch.;M. paniculata (D. DON) PRAIN;M. paniculata (D. DON) PRAIN;M. paniculata (D. DON) PRAIN;M. paniculata (D. DON) PRAIN;M. paniculata
