vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Kaukasus-W., Goldtröpfchen;– Ch. oppositifolium (LEDEB. ex NORDM.) ;Kaukasus-W., Goldtröpfchen;Ch. oppositifolium (LEDEB. ex NORDM.) ;Ch. oppositifolium (LEDEB. ex NORDM.) ;Ch. oppositifolium (LEDEB. ex NORDM.) ;Ch. oppositifolium (LEDEB. ex NORDM.) ;Ch. oppositifolium
Einfachblättrige P.;– A. simplicifolia MAKINO1* Bl 2–3(–4)fa;Einfachblättrige P.;A. simplicifolia MAKINO1* Bl 2–3(–4)fa;A. simplicifolia MAKINO1* Bl 2–3(–4)fa;A. simplicifolia MAKINO;A. simplicifolia MAKINO;A. simplicifolia
Bach-P.;– A. rivularis BUCH.-HAM. ex D. DON;Bach-P.;A. rivularis BUCH.-HAM. ex D. DON;A. rivularis BUCH.-HAM. ex D. DON;A. rivularis BUCH.-HAM. ex D. DON;A. rivularis BUCH.-HAM. ex D. DON;A. rivularis
Japanische P.;– A. japonica (C. MORREN ex DECNE.) A. G;Japanische P.;A. japonica (C. MORREN ex DECNE.) A. G;A. japonica (C. MORREN ex DECNE.) A. G;A. japonica (C. MORREN ex DECNE.) A. G;A. japonica (C. MORREN ex DECNE.) A. G;A. japonica
Thunberg-P.;– A. thunbergii (SIEBOLD et ZUCC.) MIQ.;Thunberg-P.;A. thunbergii (SIEBOLD et ZUCC.) MIQ.;A. thunbergii (SIEBOLD et ZUCC.) MIQ.;A. thunbergii (SIEBOLD et ZUCC.) MIQ.;A. thunbergii (SIEBOLD et ZUCC.) MIQ.;A. thunbergii
Rote P.;– A. rubra HOOK. f. et THOMSON ex HOOK.;Rote P.;A. rubra HOOK. f. et THOMSON ex HOOK.;A. rubra HOOK. f. et THOMSON ex HOOK.;A. rubra HOOK. f. et THOMSON ex HOOK.;A. rubra HOOK. f. et THOMSON ex HOOK.;A. rubra f.
Maiapfelblättriges Sch.;– R. podophylla A. GRAY2* Fiedern an der;Maiapfelblättriges Sch.;R. podophylla A. GRAY2* Fiedern an der;R. podophylla A. GRAY2* Fiedern an der;R. podophylla A. GRAY;R. podophylla A. GRAY;R. podophylla
Rosskastanienblättriges Sch.;– R. aesculifolia BATALIN3 (1) Spreite d;Rosskastanienblättriges Sch.;R. aesculifolia BATALIN3 (1) Spreite d;R. aesculifolia BATALIN3 (1) Spreite d;R. aesculifolia BATALIN;R. aesculifolia BATALIN;R. aesculifolia
Holunderblättriges Sch.;– R. sambucifolia HEMSL.;Holunderblättriges Sch.;R. sambucifolia HEMSL.;R. sambucifolia HEMSL.;R. sambucifolia HEMSL.;R. sambucifolia HEMSL.;R. sambucifolia
Fiederblättriges Sch.;– R. pinnata FRANCH.;Fiederblättriges Sch.;R. pinnata FRANCH.;R. pinnata FRANCH.;R. pinnata FRANCH.;R. pinnata FRANCH.;R. pinnata
Wurzelnde T., Japanische Schaumblüte;–T. radicans FRANCH. et SAV.;Wurzelnde T., Japanische Schaumblüte;T. radicans FRANCH. et SAV.;T. radicans FRANCH. et SAV.;T. radicans FRANCH. et SAV.;T. radicans FRANCH. et SAV.;T. radicans
Herzblättrige B.;– B. cordifolia (HAW.) STERNB.;Herzblättrige B.;B. cordifolia (HAW.) STERNB.;B. cordifolia (HAW.) STERNB.;B. cordifolia (HAW.) STERNB.;B. cordifolia (HAW.) STERNB.;B. cordifolia
Dickblatt-B.;– B. crassifolia (L.) FRITSCH;Dickblatt-B.;B. crassifolia (L.) FRITSCH;B. crassifolia (L.) FRITSCH;B. crassifolia (L.) FRITSCH;B. crassifolia (L.) FRITSCH;B. crassifolia
Kaschmir-B.;– B. ciliata (HAW.) STERNB. f. ciliata;Kaschmir-B.;B. ciliata (HAW.) STERNB. f. ciliata;B. ciliata (HAW.) STERNB. f. ciliata;B. ciliata (HAW.) STERNB. f. ciliata;B. ciliata (HAW.) STERNB. f. ciliata;B. ciliata f. ciliata
Purpurrötliche B.;– B. purpurascens (HOOK. f. et THOMSON) ;Purpurrötliche B.;B. purpurascens (HOOK. f. et THOMSON) ;B. purpurascens (HOOK. f. et THOMSON) ;B. purpurascens (HOOK. f. et THOMSON) ;B. purpurascens (HOOK. f. et THOMSON) ;B. purpurascens f.
Garten-B.;– B. × schmidtii (REGEL) SILVA TAR.;Garten-B.;B. × schmidtii (REGEL) SILVA TAR.;B. × schmidtii (REGEL) SILVA TAR.;B. × schmidtii (REGEL) SILVA TAR.;B. × schmidtii (REGEL) SILVA TAR.;B. schmidtii
Rundblättrige B.;– B. rotundifolia PARRY1* BlSpreite hand;Rundblättrige B.;B. rotundifolia PARRY1* BlSpreite hand;B. rotundifolia PARRY1* BlSpreite hand;B. rotundifolia PARRY;B. rotundifolia PARRY;B. rotundifolia
Eisenhutblättrige B.;– B. aconitifolia NUTT.Peltoboykinie – P;Eisenhutblättrige B.;B. aconitifolia NUTT.Peltoboykinie – P;B. aconitifolia NUTT.Peltoboykinie – P;B. aconitifolia NUTT.Peltoboykinie – P;B. aconitifolia NUTT.Peltoboykinie – P;B. aconitifolia
Tellimaähnliche P.;– P. tellimoides (MAXIM.) HARA;Tellimaähnliche P.;P. tellimoides (MAXIM.) HARA;P. tellimoides (MAXIM.) HARA;P. tellimoides (MAXIM.) HARA;P. tellimoides (MAXIM.) HARA;P. tellimoides
Schildblatt;#NAME?;Schildblatt-H.;R. thora L.;R. thora L.;R. thora L.;R. thora L.;R. thora
Roter St., Gegenblättriger St.;– S. oppositifolia L.1* Bl wechselständi;Roter St., Gegenblättriger St.;S. oppositifolia L.1* Bl wechselständi;S. oppositifolia L.1* Bl wechselständi;S. oppositifolia L.;S. oppositifolia L.;S. oppositifolia
Kies-St.;– S. mutata L.;Kies-St.;S. mutata L.;S. mutata L.;S. mutata L.;S. mutata L.;S. mutata
Wacholderblättriger St.;– S. juniperifolia ADAMS;Wacholderblättriger St.;S. juniperifolia ADAMS;S. juniperifolia ADAMS;S. juniperifolia ADAMS;S. juniperifolia ADAMS;S. juniperifolia
Athos-St.;– S. sancta GRISEB.;Athos-St.;S. sancta GRISEB.;S. sancta GRISEB.;S. sancta GRISEB.;S. sancta GRISEB.;S. sancta
Hauswurz-St.;– S. sempervivum K. KOCH7* KrBl gelb od.;Hauswurz-St.;S. sempervivum K. KOCH7* KrBl gelb od.;S. sempervivum K. KOCH7* KrBl gelb od.;S. sempervivum K. KOCH;S. sempervivum K. KOCH;S. sempervivum
Mazedonischer St., Ferdinand von Coburg-St.;– S. ferdinandi-coburgi KELLERER et SÜND;Mazedonischer St., Ferdinand von Coburg-St.;S. ferdinandi-coburgi KELLERER et SÜND;S. ferdinandi-coburgi KELLERER et SÜND;S. ferdinandi-coburgi KELLERER et SÜND;S. ferdinandi-coburgi KELLERER et SÜND;S. ferdinandi-coburgi
Blaugrüner St.;– S. caesia L.Ähnlich: Sparriger St. – S;Blaugrüner St.;S. caesia L.Ähnlich: Sparriger St. – S;S. caesia L.Ähnlich: Sparriger St. – S;S. caesia L.;S. caesia L.;S. caesia
Burser-St.;– S. burseriana L.;Burser-St.;S. burseriana L.;S. burseriana L.;S. burseriana L.;S. burseriana L.;S. burseriana
Kalkrand-St.;– S. marginata STERNB.;Kalkrand-St.;S. marginata STERNB.;S. marginata STERNB.;S. marginata STERNB.;S. marginata STERNB.;S. marginata
Balkan-St.;– S. scardica GRISEB.;Balkan-St.;S. scardica GRISEB.;S. scardica GRISEB.;S. scardica GRISEB.;S. scardica GRISEB.;S. scardica
