genus_vernacular;species_vernacular;genus_scientific;species_scientific;primary_use;secondary_use;wild
Dionysie;Rollblatt-D.;Dionysia;D. aretioides;Z;NA;NA
Dionysie;Matten-D.;Dionysia;D. tapetodes;Z;NA;NA
Wasserfeder, Wasserprimel;Europäische Wasserfeder, Wasserprimel;Hottonia;H. palustris;Z;NA;W
Götterblume;Gezähnte G.;Dodecatheon;D. dentatum;Z;NA;NA
Götterblume;Alpine G.;Dodecatheon;D. alpinum;Z;NA;NA
Götterblume;Hohe G.;Dodecatheon;D. jeffreyi;Z;NA;NA
Götterblume;Henderson-G;Dodecatheon;D. hendersonii;Z;NA;NA
Götterblume;Cleveland-G.;Dodecatheon;D. clevelandii;Z;NA;NA
Götterblume;Schöne G.;Dodecatheon;D. pulchellum subsp. pulchellum;Z;NA;NA
Götterblume;Columbia-G.;Dodecatheon;D. pulchellum subsp. cusickii;Z;NA;NA
Götterblume;Mead-G.;Dodecatheon;D. meadia;Z;NA;NA
Alpenglöckchen, Troddelblume;Kleinstes A.;Soldanella;S. minima;Z;NA;W
Alpenglöckchen, Troddelblume;Österreichisches A.;Soldanella;S. austriaca;Z;NA;W
Alpenglöckchen, Troddelblume;Karpatisches Zwerg-A.;Soldanella;S. pusilla;Z;NA;NA
Alpenglöckchen, Troddelblume;Alpisches Zwerg-A.;Soldanella;S. alpicola;Z;NA;W
Alpenglöckchen, Troddelblume;Pindus-A.;Soldanella;S. pindicola;Z;NA;NA
Alpenglöckchen, Troddelblume;Gewöhnliches A., Alpen-T.;Soldanella;S. alpina;Z;NA;W
Alpenglöckchen, Troddelblume;Karpaten-A.;Soldanella;S. carpatica;Z;NA;NA
Alpenglöckchen, Troddelblume;Berg-A.;Soldanella;S. montana;Z;NA;W
Alpenglöckchen, Troddelblume;Ungarisches A.;Soldanella;S. hungarica;Z;NA;NA
Dreiblattspiere, Gillenie;Südliche D.;Gillenia;G. stipulata;Z;NA;NA
Dreiblattspiere, Gillenie;Nördliche D.;Gillenia;G. trifoliata;Z;NA;NA
Felsspiere;Mattenbildende F.;Petrophytum;P. caespitosum;Z;NA;NA
Felsspiere;Aschgraue F.;Petrophytum;P. cinerascens;Z;NA;NA
Felsspiere;Henderson-F.;Petrophytum;P. hendersonii;Z;NA;NA
Lütkea;Westamerikanische L.;Luetkea;L. pectinata;Z;NA;NA
Geißbart;Wald-G.;Aruncus;A. dioicus;Z;NA;W
Goldrute;Wald-G.;Solidago;S. arguta;Z;NA;NA
Geißbart;Koreanischer G.;Arunucus;A. aethusifolius;N;NA;NA
Mädesüß, Spierstaude;Kleines M., Knollen-S., Filipendelwurz;Filipendula;F. vulgaris;Z;NA;W
