Vernacular_name;Species;Genus;Author
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Acker-H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Kriechender H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Berg-H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Scharfer H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Wolliger H.;Ranunculus;L.
Adonisröschen;Herbst-A.;Adonis;L.
Adonisröschen;Frühlings-A.;Adonis;L.
Adonisröschen;Amur-A.;Adonis;L.
Schmuckblume, Jägerkraut;Bibernellähnliche Sch.;Callianthemum;C.
Schmuckblume, Jägerkraut;Korianderblättrige Sch.;Callianthemum;C.
Schmuckblume, Jägerkraut;Schmalblättrige Sch.;Callianthemum;C.
Schmuckblume, Jägerkraut;Anemonen-Sch.;Callianthemum;C.
Schmuckblume, Jägerkraut;Kerner-Sch.;Callianthemum;C.
Vanilleblatt;Dreiblättriges V.;Achlys;DC.
Indianer-Blaubeere;Wiesenrautenähnliche I.;Caulophyllum;MICHX.
Löwentrapp, Leontice;Löwentrapp, Leontice;Leontice;L.
Bongardie;Bongardie;Bongardia;C. A. MEY.
Vancouverie;Nördliche V., Rüsselsternchen;Vancouveria;C.
Vancouverie;Kleinblütige V.;Vancouveria;C.
Vancouverie;Gelbe V.;Vancouveria;C.
Sockenblume, Elfenblume;Algerische S.;Epimedium;L.
Sockenblume, Elfenblume;Kolchische S.;Epimedium;L.
Sockenblume, Elfenblume;Großblütige S.;Epimedium;L.
Sockenblume, Elfenblume;Japanische S.;Epimedium;L.
Sockenblume, Elfenblume;Behaarte S.;Epimedium;L.
Sockenblume, Elfenblume;Alpen-S.;Epimedium;L.
Jeffersonie;Zweiblättrige J., Zwillingsblatt;Jeffersonia;BARTON
Jeffersonie;Ganzblättrige J., Herzblattschale;Jeffersonia;BARTON
Maiapfel, Fußblatt;Chinesischer M.;Podophyllum;L.
Maiapfel, Fußblatt;Himalaja-M.;Podophyllum;L.
